"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-9.415833338E-4,-9.144853784E-1,-4.792180898E0,5.163733153E-1,4.905906915E0
9.030416666E-3,-9.049321244E-1,-4.647110308E0,5.533359043E-1,4.766625325E0
1.900241667E-2,-8.983903326E-1,-4.452849432E0,5.616588311E-1,4.577164394E0
2.897341666E-2,-8.566828743E-1,-4.257557107E0,6.087594688E-1,4.385349034E0
3.894541666E-2,-7.295918879E-1,-4.053410343E0,7.005092990E-1,4.177697094E0
4.891741666E-2,-6.240695259E-1,-3.850386245E0,7.928357378E-1,3.980392633E0
5.888841665E-2,-5.379088298E-1,-3.596605391E0,8.244456395E-1,3.728890835E0
6.886041665E-2,-4.960350182E-1,-3.360904713E0,8.891404029E-1,3.511737730E0
7.883187500E-2,-3.647860037E-1,-3.086187319E0,9.562372025E-1,3.251462837E0
8.880287499E-2,-2.252120890E-1,-2.808211271E0,9.769000932E-1,2.981795570E0
9.877487499E-2,-2.189338604E-1,-2.521994743E0,9.787853086E-1,2.714113151E0
1.087468750E-1,-1.424517681E-1,-2.242874980E0,9.641438806E-1,2.445476253E0
1.187188750E-1,-1.478863896E-1,-1.929541404E0,9.171216687E-1,2.141521088E0
1.286898750E-1,-2.490476058E-1,-1.622804072E0,8.242972664E-1,1.837112885E0
1.386618750E-1,-3.814449769E-1,-1.322591649E0,7.118937548E-1,1.549690827E0
1.486338750E-1,-4.948030464E-1,-1.004334717E0,5.845964348E-1,1.263040487E0
1.586048750E-1,-6.610255368E-1,-6.861596471E-1,4.315339438E-1,1.045940422E0
1.685768750E-1,-8.993220864E-1,-3.809162790E-1,3.100462711E-1,1.024698061E0
1.785488750E-1,-1.066102292E0,-6.922752500E-2,1.980218784E-1,1.086544620E0
1.885198750E-1,-1.188935336E0,2.619260252E-1,1.293100047E-1,1.224293083E0
1.984918750E-1,-1.332718734E0,5.921615624E-1,9.399274908E-2,1.461379204E0
2.084638750E-1,-1.406411777E0,8.821583158E-1,1.004002011E-1,1.663213030E0
2.184358750E-1,-1.330364352E0,1.215729690E0,1.540461389E-1,1.808755982E0
2.284068750E-1,-1.179916371E0,1.533575562E0,2.543246448E-1,1.951598747E0
2.383788750E-1,-1.010261017E0,1.835151556E0,3.815133162E-1,2.129309974E0
2.483508750E-1,-7.666407233E-1,2.161720889E0,4.976670492E-1,2.347008243E0
2.583218750E-1,-4.412804483E-1,2.484158580E0,6.348661172E-1,2.601696998E0
