"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.302833327E-3,-2.543432828E-1,-7.556457360E0,6.025122670E-1,7.584705622E0
1.327483333E-2,-1.793776658E-1,-7.533937393E0,6.434346271E-1,7.563491067E0
2.324583332E-2,-1.063325668E-1,-7.494326600E0,6.359536994E-1,7.522012691E0
3.321783332E-2,-1.154608744E-1,-7.366999971E0,6.698196030E-1,7.398288862E0
4.318883334E-2,-1.266072755E-1,-7.196772321E0,6.286809325E-1,7.225288988E0
5.316083334E-2,-1.389592993E-1,-7.008089104E0,6.166228044E-1,7.036536524E0
6.313283334E-2,-1.325739205E-1,-6.793045469E0,5.722225571E-1,6.818392864E0
7.310383333E-2,-1.798976295E-1,-6.554517662E0,4.865269339E-1,6.575011285E0
8.307583333E-2,-1.951267757E-1,-6.306511518E0,4.414717253E-1,6.324955278E0
9.304683332E-2,-2.422741181E-1,-5.979352786E0,3.806361242E-1,5.996352253E0
1.030188333E-1,-3.385817798E-1,-5.675896327E0,2.693590788E-1,5.692362519E0
1.129908333E-1,-4.590152726E-1,-5.338357033E0,1.788955629E-1,5.361040426E0
1.229618333E-1,-5.394351724E-1,-4.996286146E0,1.991325570E-1,5.029266282E0
1.329338333E-1,-6.189649066E-1,-4.642499194E0,2.242559230E-1,4.688945194E0
1.429048333E-1,-7.610817754E-1,-4.225843563E0,2.436265790E-1,4.300738681E0
1.528768333E-1,-9.178895543E-1,-3.782526383E0,3.019806949E-1,3.904000437E0
1.628488333E-1,-9.970182426E-1,-3.298492118E0,4.220743914E-1,3.471633969E0
1.728198333E-1,-1.017736828E0,-2.817417712E0,6.134022311E-1,3.057759492E0
1.827918333E-1,-9.977837893E-1,-2.332118694E0,8.402764642E-1,2.672155427E0
1.927638333E-1,-9.547308867E-1,-1.755822381E0,1.059135407E0,2.261899890E0
2.027348333E-1,-8.662925539E-1,-1.196222209E0,1.209385461E0,1.908932569E0
2.127068333E-1,-7.442444987E-1,-6.297422022E-1,1.303171291E0,1.627492098E0
2.226778333E-1,-5.635313288E-1,-3.856881917E-2,1.361486742E0,1.474008569E0
2.326498333E-1,-3.350230182E-1,5.760934138E-1,1.325311189E0,1.483433110E0
2.426218333E-1,-1.337293303E-1,1.161669842E0,1.220835478E0,1.690502772E0
2.525928333E-1,4.008368656E-2,1.729040964E0,9.671785124E-1,1.981571001E0
2.625648333E-1,1.711385004E-1,2.295385900E0,6.984580958E-1,2.405395711E0
2.725358333E-1,2.529894331E-1,2.814581813E0,4.201048299E-1,2.856984862E0
2.825078333E-1,2.290194304E-1,3.319930934E0,1.628613281E-1,3.331803583E0
2.924798333E-1,1.355540270E-1,3.761053653E0,-3.332909267E-2,3.763643222E0
3.024508333E-1,-5.192912221E-2,4.169956461E0,-1.709211302E-1,4.173780966E0
3.124228333E-1,-2.716256057E-1,4.564363436E0,-1.654201428E-1,4.575429801E0
3.223938333E-1,-5.282367311E-1,4.958276905E0,-1.277499676E-2,4.986352085E0
3.323658333E-1,-7.833374476E-1,5.304722094E0,1.898602982E-1,5.365607233E0
3.423378333E-1,-9.298721802E-1,5.614161424E0,4.849926245E-1,5.711277319E0
3.523088333E-1,-1.024596635E0,5.984547452E0,8.070139933E-1,6.125020658E0
3.622808333E-1,-1.023205583E0,6.316321392E0,1.061533935E0,6.486117474E0
3.722518333E-1,-8.889348002E-1,6.618980291E0,1.208846347E0,6.786929693E0
3.822238333E-1,-6.834430307E-1,6.939107162E0,1.252974114E0,7.084366359E0
3.921958333E-1,-3.778742650E-1,7.241353247E0,1.137990957E0,7.339959757E0
4.021668333E-1,-7.299839437E-2,7.482250346E0,8.969851005E-1,7.536178161E0
4.121388333E-1,2.225798552E-1,7.699299576E0,6.061539860E-1,7.726330203E0
4.221098333E-1,4.359631000E-1,7.865425404E0,2.509414641E-1,7.881494289E0
4.320818333E-1,5.378431217E-1,7.944755164E0,-6.073618015E-2,7.963171398E0
4.420538333E-1,5.465054428E-1,7.923094738E0,-2.984208369E-1,7.947524987E0
4.520248333E-1,4.279951358E-1,7.887847722E0,-4.142237735E-1,7.910303588E0
4.619968333E-1,2.027656696E-1,7.755840397E0,-4.108920300E-1,7.769363323E0
4.719688333E-1,-6.624637691E-2,7.553824359E0,-2.766656864E-1,7.559179514E0
4.819398333E-1,-3.104439914E-1,7.374466281E0,-5.772547165E-2,7.381223519E0
4.919118333E-1,-5.231773182E-1,7.140119233E0,1.862326308E-1,7.161682747E0
