"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.895208332E-3,-2.850499797E0,2.521019427E0,1.951040447E-1,3.810374474E0
1.886620832E-2,-3.052806441E0,3.348523234E0,-4.967798073E-2,4.531523245E0
2.883820832E-2,-2.539363897E0,5.674342722E0,-8.623122811E-2,6.217231711E0
3.881020832E-2,-1.138459393E0,6.049141644E0,-4.142465776E-1,6.169262893E0
4.878120834E-2,3.578829271E-1,6.214158255E0,-6.119462013E-1,6.254464099E0
5.875320834E-2,1.741519653E0,6.469503824E0,-7.126206368E-1,6.737595907E0
6.872420834E-2,2.811883907E0,6.468798065E0,-6.907409406E-1,7.087253528E0
7.869620834E-2,3.459371240E0,6.410727028E0,-6.150645214E-1,7.310470215E0
8.866720833E-2,3.743100947E0,6.179119400E0,-4.283389886E-1,7.237112377E0
9.863920833E-2,3.518167039E0,5.771589519E0,-1.603715837E-1,6.761247218E0
1.086112083E-1,2.542386615E0,5.290077158E0,3.680010952E-2,5.869412260E0
1.185822083E-1,1.398253450E0,4.852337052E0,-2.033771239E-2,5.049821898E0
1.285542083E-1,3.231214493E-1,4.329408277E0,7.127521992E-2,4.342034507E0
1.385252083E-1,-8.621930710E-1,3.824321696E0,5.363943279E-2,3.920674753E0
1.484972083E-1,-1.874359476E0,3.317554625E0,-7.570159871E-2,3.811183920E0
1.584692083E-1,-2.294200670E0,2.863040028E0,-2.621535184E-1,3.678189688E0
1.684402083E-1,-2.219614610E0,2.432270973E0,-3.160321023E-1,3.307946099E0
1.784122083E-1,-2.006020061E0,1.967479309E0,-4.357608229E-1,2.843409716E0
1.883832083E-1,-1.470843855E0,1.524169731E0,-5.174990505E-1,2.180431214E0
1.983552083E-1,-5.912746129E-1,1.115235933E0,-5.089831656E-1,1.361036633E0
2.083262083E-1,2.280005530E-1,7.019535613E-1,-4.535591261E-1,8.662787861E-1
2.182982083E-1,8.750210582E-1,2.910129994E-1,-4.043337564E-1,1.006894336E0
2.282702083E-1,1.410231179E0,-1.563060147E-1,-3.174792516E-1,1.453952070E0
2.382412083E-1,1.828429158E0,-6.273922062E-1,-1.966085333E-1,1.943046341E0
2.482132083E-1,1.922546380E0,-1.122564248E0,-7.303055406E-2,2.227480311E0
2.581842083E-1,1.704229182E0,-1.656677577E0,-5.644964118E-2,2.377428077E0
2.681562083E-1,1.355163563E0,-2.200870337E0,1.810056768E-2,2.584690727E0
2.781272083E-1,9.480022033E-1,-2.746343052E0,7.546354394E-2,2.906338432E0
2.880992083E-1,4.476413784E-1,-3.267906502E0,1.000236404E-1,3.299939460E0
2.980712083E-1,-4.843994245E-2,-3.771801420E0,4.124974927E-2,3.772337992E0
3.080422083E-1,-4.678439105E-1,-4.256041508E0,-7.541172300E-3,4.281684729E0
3.180142083E-1,-8.227793292E-1,-4.645705222E0,-4.696659029E-2,4.718235761E0
3.279852083E-1,-1.128007641E0,-5.048258538E0,-8.992199063E-2,5.173528918E0
3.379572083E-1,-1.309411001E0,-5.392933189E0,-1.044967604E-1,5.550604033E0
3.479282083E-1,-1.365923610E0,-5.684995764E0,-1.195843309E-1,5.848010307E0
3.579002083E-1,-1.318189572E0,-5.950680964E0,-1.346181071E-1,6.096421058E0
3.678722083E-1,-1.253758811E0,-6.165580757E0,-1.399992996E-1,6.293321622E0
3.778432083E-1,-1.087071065E0,-6.348738940E0,-7.363281727E-2,6.441555047E0
3.878152083E-1,-9.316691758E-1,-6.483901423E0,-6.656587243E-2,6.550833240E0
3.977862083E-1,-7.382670363E-1,-6.572059309E0,-1.500979801E-2,6.613412664E0
4.077582083E-1,-5.189911138E-1,-6.641765136E0,4.709816177E-2,6.662177882E0
4.177292083E-1,-3.488239820E-1,-6.644227399E0,1.330580608E-1,6.654708134E0
4.277012083E-1,-1.817011300E-1,-6.637275059E0,1.662608993E-1,6.641842982E0
4.376732083E-1,-1.903597601E-2,-6.604354650E0,1.847638285E-1,6.606966050E0
4.476442083E-1,1.242967482E-1,-6.485533966E0,1.750118605E-1,6.489085425E0
4.576162083E-1,2.494329373E-1,-6.380525574E0,2.441902689E-1,6.390066688E0
4.675872083E-1,3.401695181E-1,-6.273814473E0,3.136329532E-1,6.290852802E0
4.775592083E-1,3.673535892E-1,-6.081534634E0,3.054036001E-1,6.100269135E0
4.875302083E-1,3.730737741E-1,-5.864760808E0,3.454780591E-1,5.886761288E0
4.975022083E-1,3.019949475E-1,-5.656318679E0,3.282673645E-1,5.673878869E0
5.074744583E-1,1.578331612E-1,-5.422759836E0,3.438618886E-1,5.435943023E0
5.174454583E-1,-8.708039001E-3,-5.141343287E0,3.336608728E-1,5.152166166E0
5.274174583E-1,-2.308884928E-1,-4.836782289E0,3.355191179E-1,4.853900029E0
5.373884583E-1,-4.977834088E-1,-4.538932725E0,3.034483095E-1,4.576218907E0
5.473604583E-1,-7.568780659E-1,-4.156530669E0,2.899400719E-1,4.234817216E0
5.573324583E-1,-1.008935307E0,-3.765311596E0,3.072056937E-1,3.910229815E0
5.673034583E-1,-1.160228942E0,-3.357498710E0,3.015034890E-1,3.565085292E0
5.772754583E-1,-1.273048775E0,-2.906530448E0,2.903119183E-1,3.186354255E0
5.872464583E-1,-1.280106364E0,-2.399609596E0,2.948587132E-1,2.735642553E0
5.972184583E-1,-1.089527553E0,-1.907994415E0,3.860600746E-1,2.230819436E0
6.071894583E-1,-8.572438415E-1,-1.393068139E0,4.202230898E-1,1.688814166E0
6.171614583E-1,-5.303447255E-1,-8.406676430E-1,3.765665718E-1,1.062915799E0
6.271334583E-1,-1.293418720E-1,-2.798454022E-1,4.266116846E-1,5.263461774E-1
6.371044583E-1,3.666384747E-1,2.702471977E-1,5.209167846E-1,6.919621489E-1
6.470764583E-1,8.241638037E-1,8.554634374E-1,6.156673694E-1,1.337949916E0
6.570474583E-1,1.109751756E0,1.390277848E0,5.178294182E-1,1.852719288E0
6.670194583E-1,1.252794897E0,1.885970877E0,5.039493342E-1,2.319557314E0
6.769904583E-1,1.292217702E0,2.370896258E0,4.974998553E-1,2.745629575E0
6.869624583E-1,1.117734521E0,2.816124308E0,4.802469878E-1,3.067657697E0
6.969344583E-1,7.490119529E-1,3.194264914E0,3.787393606E-1,3.302694468E0
7.069054583E-1,3.063318273E-1,3.576903782E0,3.541483104E-1,3.607423025E0
7.168774583E-1,-1.176515338E-1,3.958681356E0,4.116603907E-1,3.981766472E0
7.268484583E-1,-5.842045617E-1,4.317944811E0,4.091951680E-1,4.376457820E0
7.368204583E-1,-9.396235818E-1,4.634933481E0,3.659491976E-1,4.743355317E0
7.467914583E-1,-1.034598298E0,5.005415989E0,3.875230479E-1,5.125890846E0
7.567634583E-1,-8.656404432E-1,5.367366824E0,4.811416483E-1,5.457971902E0
7.667354583E-1,-5.451552111E-1,5.645880230E0,4.715685868E-1,5.691707539E0
7.767064583E-1,-4.083315343E-2,5.961169115E0,4.077742946E-1,5.975239279E0
7.866784583E-1,5.481369987E-1,6.272645030E0,4.118767011E-1,6.310005726E0
7.966494583E-1,1.075033548E0,6.485178455E0,4.208755660E-1,6.587136932E0
8.066214583E-1,1.481432870E0,6.659009160E0,3.651328897E-1,6.831571442E0
8.165924583E-1,1.702932269E0,6.790688456E0,2.679989251E-1,7.006086743E0
8.265644583E-1,1.684958513E0,6.831806661E0,2.582761931E-1,7.041262248E0
8.365364583E-1,1.344519000E0,6.790516548E0,2.724954522E-1,6.927705255E0
8.465074583E-1,8.897085330E-1,6.731661984E0,2.050793946E-1,6.793299044E0
8.564794583E-1,3.684382477E-1,6.620131023E0,1.804345318E-1,6.632830325E0
8.664504583E-1,-1.313613907E-1,6.436686326E0,2.292272258E-1,6.442106162E0
8.764224583E-1,-5.956700015E-1,6.289196159E0,2.663687396E-1,6.322955273E0
8.863944583E-1,-8.237408307E-1,6.097336149E0,2.259709114E-1,6.156875825E0
8.963654583E-1,-7.753249349E-1,5.885962812E0,2.113008320E-1,5.940566894E0
9.063374583E-1,-5.858734667E-1,5.676581036E0,2.391037577E-1,5.711741467E0
9.163084583E-1,-2.184420365E-1,5.441141728E0,1.726215005E-1,5.448260127E0
9.262804583E-1,2.741249250E-1,5.164579538E0,6.850362143E-2,5.172303067E0
9.362514583E-1,7.117868970E-1,4.853991814E0,1.723758261E-2,4.905932557E0
9.462234583E-1,1.072085455E0,4.552036920E0,-2.447761416E-2,4.676644791E0
9.561954583E-1,1.297732796E0,4.172032807E0,-9.237723649E-2,4.370183258E0
9.661664583E-1,1.353685680E0,3.716666270E0,-1.881686622E-1,3.959984915E0
9.761384583E-1,1.187555977E0,3.277705851E0,-1.930773997E-1,3.491550333E0
9.861094583E-1,8.681188586E-1,2.761533533E0,-2.010068089E-1,2.901741123E0
9.960814583E-1,4.943913659E-1,2.224199558E0,-2.499170136E-1,2.292148558E0
1.006052458E0,1.034087763E-1,1.711797525E0,-3.032389426E-1,1.741521748E0
1.016024458E0,-2.818774924E-1,1.191547360E0,-2.740987587E-1,1.254739081E0
1.025996458E0,-6.196985129E-1,6.376797974E-1,-2.556841590E-1,9.252222220E-1
1.035967458E0,-7.948164091E-1,1.206292284E-1,-2.732994809E-1,8.491037281E-1
1.045939458E0,-8.387316298E-1,-3.668385226E-1,-2.966608250E-1,9.623143424E-1
1.055910458E0,-8.659418672E-1,-8.692868400E-1,-3.468170714E-1,1.275067453E0
1.065882458E0,-7.493038751E-1,-1.355791554E0,-4.112867536E-1,1.602742596E0
1.075854458E0,-4.272328050E-1,-1.787337704E0,-3.662449571E-1,1.873830117E0
1.085825458E0,-2.878500212E-1,-2.235269507E0,-4.709487089E-1,2.302407455E0
1.095797458E0,-1.412831289E-1,-2.679293030E0,-6.222899258E-1,2.754236158E0
1.105768458E0,1.221426339E-1,-3.121222081E0,-6.443053506E-1,3.189369136E0
1.115740458E0,3.500655652E-1,-3.488325482E0,-6.642741767E-1,3.568223753E0
1.125711458E0,3.082143384E-1,-3.911656294E0,-7.981472754E-1,4.004134128E0
1.135683458E0,2.918030313E-1,-4.307905142E0,-8.960917190E-1,4.409781864E0
1.145655458E0,3.198614804E-1,-4.645105882E0,-8.815567104E-1,4.738824987E0
1.155626458E0,2.952805167E-1,-4.987745703E0,-8.549249089E-1,5.069092067E0
1.165598458E0,7.979008153E-2,-5.312936847E0,-9.258773625E-1,5.393599289E0
1.175569458E0,-8.923925512E-2,-5.590421728E0,-9.653161012E-1,5.673853534E0
1.185541458E0,-1.912709025E-1,-5.841517541E0,-9.306732488E-1,5.918282220E0
