"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.293874994E-3,2.927730113E-1,-1.431713557E0,4.754148853E-1,1.536729989E0
1.326487499E-2,4.708967052E-1,-1.201614511E0,4.781958941E-1,1.376332973E0
2.323687499E-2,6.073989313E-1,-1.000401880E0,4.856463432E-1,1.267118682E0
3.320887499E-2,7.174990419E-1,-7.869913727E-1,5.287860040E-1,1.189022680E0
4.317987501E-2,7.326355098E-1,-5.944115710E-1,5.720870113E-1,1.103341948E0
5.315187501E-2,6.257120088E-1,-4.181852621E-1,5.914142152E-1,9.571651923E-1
6.312387501E-2,4.905567618E-1,-2.069674605E-1,6.360354142E-1,8.294712258E-1
7.309587501E-2,2.973310621E-1,-2.882209539E-2,6.526206759E-1,7.177396606E-1
8.306687500E-2,2.937725198E-2,1.546705484E-1,6.735209636E-1,6.916765789E-1
9.303887500E-2,-2.843928549E-1,3.551288885E-1,6.703247293E-1,8.101426208E-1
1.030108750E-1,-5.099075008E-1,5.472941226E-1,6.359886365E-1,9.818442146E-1
1.129818750E-1,-7.397444815E-1,7.505836844E-1,5.697994709E-1,1.198027213E0
1.229538750E-1,-9.637804762E-1,9.479915321E-1,5.119295045E-1,1.445556145E0
1.329258750E-1,-1.026094619E0,1.173036245E0,4.471728337E-1,1.621372178E0
1.428968750E-1,-9.692347589E-1,1.410974067E0,3.551984704E-1,1.748264794E0
1.528688750E-1,-8.891914199E-1,1.617884810E0,2.890302086E-1,1.868622782E0
1.628408750E-1,-6.547041120E-1,1.813460140E0,2.179747709E-1,1.940306201E0
1.728118750E-1,-3.330864935E-1,2.057315930E0,1.983526846E-1,2.093523163E0
1.827838750E-1,-2.155652795E-2,2.263125057E0,1.988872297E-1,2.271949788E0
1.927558750E-1,2.588837919E-1,2.449961724E0,2.066768539E-1,2.472255769E0
2.027268750E-1,5.797626513E-1,2.650867376E0,2.647081304E-1,2.726406604E0
2.126988750E-1,7.955352511E-1,2.823607575E0,3.357214316E-1,2.952684364E0
2.226708750E-1,8.586298509E-1,2.943980110E0,3.759514081E-1,3.089596021E0
2.326428750E-1,8.545724680E-1,3.073230473E0,4.161066135E-1,3.216859394E0
2.426138750E-1,7.232682703E-1,3.187760471E0,4.380874300E-1,3.298007642E0
2.525858750E-1,4.817609415E-1,3.246054872E0,4.305047973E-1,3.309728119E0
2.625578750E-1,1.406585001E-1,3.330196890E0,3.897017205E-1,3.355870017E0
2.725288750E-1,-1.864252783E-1,3.397049276E0,3.123699546E-1,3.416470863E0
2.825008750E-1,-4.970418722E-1,3.447725925E0,2.174158867E-1,3.490148184E0
2.924728750E-1,-8.287093560E-1,3.528642619E0,8.356255889E-2,3.625611759E0
3.024438750E-1,-9.881123485E-1,3.562344800E0,-9.164962359E-3,3.696856839E0
3.124158750E-1,-1.000252191E0,3.616426283E0,-1.147668282E-1,3.753959900E0
3.223878750E-1,-9.711843668E-1,3.658445544E0,-1.500816536E-1,3.788132439E0
3.323588750E-1,-7.823255870E-1,3.684530557E0,-1.766736209E-1,3.770810565E0
3.423308750E-1,-4.527196486E-1,3.715588628E0,-1.540706241E-1,3.746237004E0
3.523028750E-1,-1.243283597E-1,3.726415917E0,-1.015029768E-1,3.729870773E0
3.622738750E-1,2.044277041E-1,3.717373783E0,-4.092934012E-2,3.723215511E0
3.722458750E-1,5.719657181E-1,3.705268877E0,4.253381610E-2,3.749396133E0
3.822178750E-1,8.165720712E-1,3.658896364E0,1.400378913E-1,3.751522779E0
3.921888750E-1,9.003272959E-1,3.589724972E0,1.776711559E-1,3.705169585E0
4.021608750E-1,9.325984445E-1,3.511865788E0,1.853374404E-1,3.638308829E0
4.121328750E-1,8.739578882E-1,3.409841815E0,1.742727542E-1,3.524371516E0
4.221048750E-1,6.722486825E-1,3.258693044E0,9.097624362E-2,3.328554540E0
4.320758750E-1,3.826269915E-1,3.135569394E0,-3.453891814E-2,3.159017533E0
4.420478750E-1,1.292437119E-1,3.011155847E0,-1.545003945E-1,3.017885658E0
4.520198750E-1,-1.642828593E-1,2.867936486E0,-2.965187377E-1,2.887900952E0
4.619908750E-1,-4.240191022E-1,2.713485208E0,-4.423962432E-1,2.781817501E0
4.719628750E-1,-5.796792188E-1,2.579190452E0,-5.390173888E-1,2.697923485E0
4.819348750E-1,-6.209409001E-1,2.406976503E0,-5.779914200E-1,2.552092782E0
4.919058750E-1,-6.045268156E-1,2.228997198E0,-5.837959510E-1,2.382162650E0
5.018778750E-1,-4.815766811E-1,2.071788374E0,-5.444699174E-1,2.195602572E0
5.118498750E-1,-2.447417162E-1,1.857496691E0,-4.611751610E-1,1.929475315E0
5.218208750E-1,1.626772139E-2,1.697713922E0,-3.362190296E-1,1.730762963E0
5.317928750E-1,2.583955129E-1,1.499118505E0,-2.278794426E-1,1.538198158E0
5.417648750E-1,5.459789376E-1,1.318256523E0,-1.160420877E-1,1.431558251E0
5.517358750E-1,7.738139413E-1,1.102717044E0,-1.207625449E-2,1.347189197E0
5.617078750E-1,9.431507684E-1,8.868875438E-1,2.004659414E-2,1.294799117E0
5.716798750E-1,1.026512622E0,7.023739761E-1,1.729058214E-3,1.243808809E0
5.816508750E-1,1.056164583E0,4.754546463E-1,-2.955595750E-2,1.158626041E0
5.916228750E-1,1.005049101E0,2.666967684E-1,-1.181237330E-1,1.046519984E0
6.015948750E-1,9.006482349E-1,5.865751326E-2,-2.491031543E-1,9.363014090E-1
6.115668750E-1,7.659756757E-1,-1.635255718E-1,-3.781219311E-1,8.697330298E-1
6.215378750E-1,6.144632815E-1,-3.648609942E-1,-4.870432796E-1,8.648120175E-1
